Player,Hero,Round,Opponent,Opponent Hero,Result
Andrea Caregnato,"Rhinar, Reckless Rampage",Round 6,Marcello Mutalipassi,"Arakni, Marionette",Win
"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Round 6,Jeremy Miller,"Nuu, Alluring Desire",Loss
Jeremy Miller,"Nuu, Alluring Desire",Round 6,"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Win
Alessandro Sgura,"Vynnset, Iron Maiden",Round 6,Matthew Brown,"Fang, Dracai of Blades",Loss
Matthew Brown,"Fang, Dracai of Blades",Round 6,Alessandro Sgura,"Vynnset, Iron Maiden",Win
Jakub Kulpinski,"Puffin, Hightail",Round 6,Massimiliano Messina,"Fang, Dracai of Blades",Loss
Massimiliano Messina,"Fang, Dracai of Blades",Round 6,Jakub Kulpinski,"Puffin, Hightail",Loss
Andrea Ceschin,Dorinthea Ironsong,Round 6,Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Loss
Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Round 6,Andrea Ceschin,Dorinthea Ironsong,Win
Michał Zalejski,"Florian, Rotwood Harbinger",Round 6,Igor Makarev,"Ira, Scarlet Revenger",Win
Igor Makarev,"Ira, Scarlet Revenger",Round 6,Michał Zalejski,"Florian, Rotwood Harbinger",Loss
Faustin Falissard,Jarl Vetreiði,Round 6,Jurij Di Carlo,"Florian, Rotwood Harbinger",Win
Jurij Di Carlo,"Florian, Rotwood Harbinger",Round 6,Faustin Falissard,Jarl Vetreiði,Loss
Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Round 6,Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Loss
Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Round 6,Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Win
Tomasz Zalejski,Kassai of the Golden Sand,Round 6,Mathias W,"Vynnset, Iron Maiden",Loss
Mathias W,"Vynnset, Iron Maiden",Round 6,Tomasz Zalejski,Kassai of the Golden Sand,Win
Michał Rzepczyński,"Azalea, Ace in the Hole",Round 6,Gaia Bormida,Dorinthea Ironsong,Win
Gaia Bormida,Dorinthea Ironsong,Round 6,Michał Rzepczyński,"Azalea, Ace in the Hole",Loss
Michał Biereg,"Verdance, Thorn of the Rose",Round 6,Kinga Piper Balázs,"Cindra, Dracai of Retribution",Loss
Kinga Piper Balázs,"Cindra, Dracai of Retribution",Round 6,Michał Biereg,"Verdance, Thorn of the Rose",Win
Brian Fusciani,Dorinthea Ironsong,Round 6,Gabriele Giacomelli,Dash I/O,Loss
Gabriele Giacomelli,Dash I/O,Round 6,Brian Fusciani,Dorinthea Ironsong,Win
Brian Zambelli Tello,"Prism, Awakener of Sol",Round 6,Davide Brigida,"Puffin, Hightail",Win
Davide Brigida,"Puffin, Hightail",Round 6,Brian Zambelli Tello,"Prism, Awakener of Sol",Loss
Alessandro Berganton,"Florian, Rotwood Harbinger",Round 6,Alessio Viola,Jarl Vetreiði,Loss
Alessio Viola,Jarl Vetreiði,Round 6,Alessandro Berganton,"Florian, Rotwood Harbinger",Win
