Player,Hero,Round,Opponent,Opponent Hero,Result
Oliver Kuhrt,"Puffin, Hightail",Round 4,Panagiotis Pavlou,"Prism, Awakener of Sol",Loss
Michał Rzepczyński,"Azalea, Ace in the Hole",Round 4,Jan-Hendrik Brinkforth,Jarl Vetreiði,Loss
Jan-Hendrik Brinkforth,Jarl Vetreiði,Round 4,Michał Rzepczyński,"Azalea, Ace in the Hole",Win
Simone Pirota,"Azalea, Ace in the Hole",Round 4,Vincent Weinzierl,Kassai of the Golden Sand,Win
Vincent Weinzierl,Kassai of the Golden Sand,Round 4,Simone Pirota,"Azalea, Ace in the Hole",Loss
Lukasz Bigos,"Puffin, Hightail",Round 4,Daniel Mulato,"Azalea, Ace in the Hole",Win
Daniel Mulato,"Azalea, Ace in the Hole",Round 4,Lukasz Bigos,"Puffin, Hightail",Loss
Žan Baumgartner,"Kano, Dracai of Aether",Round 4,riccardo battaglia,"Verdance, Thorn of the Rose",Win
riccardo battaglia,"Verdance, Thorn of the Rose",Round 4,Žan Baumgartner,"Kano, Dracai of Aether",Loss
Alessandro Berganton,"Florian, Rotwood Harbinger",Round 4,Marek Fila,"Fang, Dracai of Blades",Loss
Marek Fila,"Fang, Dracai of Blades",Round 4,Alessandro Berganton,"Florian, Rotwood Harbinger",Win
Brian Zambelli Tello,"Prism, Awakener of Sol",Round 4,Morris Prem,"Arakni, Marionette",Loss
Morris Prem,"Arakni, Marionette",Round 4,Brian Zambelli Tello,"Prism, Awakener of Sol",Win
Paul van Gijssel,"Azalea, Ace in the Hole",Round 4,Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 4,Paul van Gijssel,"Azalea, Ace in the Hole",Win
Brian Fusciani,Dorinthea Ironsong,Round 4,Victor Sanchez,"Riptide, Lurker of the Deep",Loss
Victor Sanchez,"Riptide, Lurker of the Deep",Round 4,Brian Fusciani,Dorinthea Ironsong,Win
Michal Cwik,"Levia, Shadowborn Abomination",Round 4,Aurelien Souchet,"Verdance, Thorn of the Rose",Win
Aurelien Souchet,"Verdance, Thorn of the Rose",Round 4,Michal Cwik,"Levia, Shadowborn Abomination",Loss
Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Round 4,Kacper Mocek,"Ira, Scarlet Revenger",Win
Kacper Mocek,"Ira, Scarlet Revenger",Round 4,Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Loss
Michał Biereg,"Verdance, Thorn of the Rose",Round 4,Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Loss
Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Round 4,Michał Biereg,"Verdance, Thorn of the Rose",Win
David Luckey,"Azalea, Ace in the Hole",Round 4,Michele Maietta,"Kano, Dracai of Aether",Win
Michele Maietta,"Kano, Dracai of Aether",Round 4,David Luckey,"Azalea, Ace in the Hole",Loss
Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Round 4,Sergio Amigo,"Nuu, Alluring Desire",Win
Sergio Amigo,"Nuu, Alluring Desire",Round 4,Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Loss
Piero Carini,"Arakni, Marionette",Round 4,Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Loss
Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Round 4,Piero Carini,"Arakni, Marionette",Win
Alex Kondov,"Prism, Awakener of Sol",Round 4,Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Win
Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Round 4,Alex Kondov,"Prism, Awakener of Sol",Loss
Yahir Peñarrubia,"Florian, Rotwood Harbinger",Round 4,Marek Luczak,"Cindra, Dracai of Retribution",Win
Marek Luczak,"Cindra, Dracai of Retribution",Round 4,Yahir Peñarrubia,"Florian, Rotwood Harbinger",Loss
Kaloyan Nikov,Dash I/O,Round 4,Gianluca Razza,"Verdance, Thorn of the Rose",Win
Gianluca Razza,"Verdance, Thorn of the Rose",Round 4,Kaloyan Nikov,Dash I/O,Loss
Igor Makarev,"Ira, Scarlet Revenger",Round 4,Matteo Lista,"Oscilio, Constella Intelligence",Loss
Matteo Lista,"Oscilio, Constella Intelligence",Round 4,Igor Makarev,"Ira, Scarlet Revenger",Win
Andrea Milaneschi,"Vynnset, Iron Maiden",Round 4,Tomasz Zalejski,Kassai of the Golden Sand,Win
Tomasz Zalejski,Kassai of the Golden Sand,Round 4,Andrea Milaneschi,"Vynnset, Iron Maiden",Loss
Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Round 4,Adrián Marín,"Florian, Rotwood Harbinger",Loss
Adrián Marín,"Florian, Rotwood Harbinger",Round 4,Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Win
Gabriel Zugna,Kassai of the Golden Sand,Round 4,Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 4,Gabriel Zugna,Kassai of the Golden Sand,Loss
Kamil Rejman,"Azalea, Ace in the Hole",Round 4,Jorge Jimenez,"Florian, Rotwood Harbinger",Loss
Jorge Jimenez,"Florian, Rotwood Harbinger",Round 4,Kamil Rejman,"Azalea, Ace in the Hole",Win
Francesco Fiumanò,"Cindra, Dracai of Retribution",Round 4,Tigran Grigorian,"Florian, Rotwood Harbinger",Loss
Tigran Grigorian,"Florian, Rotwood Harbinger",Round 4,Francesco Fiumanò,"Cindra, Dracai of Retribution",Win
Noah Cagle,"Fang, Dracai of Blades",Round 4,Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Win
Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Round 4,Noah Cagle,"Fang, Dracai of Blades",Loss
Tiziano Biagetti,"Florian, Rotwood Harbinger",Round 4,Tore Eskeland,"Florian, Rotwood Harbinger",Win
Tore Eskeland,"Florian, Rotwood Harbinger",Round 4,Tiziano Biagetti,"Florian, Rotwood Harbinger",Loss
Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Round 4,Francesco Giorgio,"Florian, Rotwood Harbinger",Win
Francesco Giorgio,"Florian, Rotwood Harbinger",Round 4,Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Loss
Alexander Prull,"Azalea, Ace in the Hole",Round 4,Eugene C,"Rhinar, Reckless Rampage",Loss
Eugene C,"Rhinar, Reckless Rampage",Round 4,Alexander Prull,"Azalea, Ace in the Hole",Win
Jari Vincke,"Verdance, Thorn of the Rose",Round 4,Lancelot Errico,"Florian, Rotwood Harbinger",Win
Lancelot Errico,"Florian, Rotwood Harbinger",Round 4,Jari Vincke,"Verdance, Thorn of the Rose",Loss
Pierre-Yves Garcia,"Ira, Scarlet Revenger",Round 4,Christian Fichtner,"Nuu, Alluring Desire",Loss
Christian Fichtner,"Nuu, Alluring Desire",Round 4,Pierre-Yves Garcia,"Ira, Scarlet Revenger",Win
Alessio Viola,Jarl Vetreiði,Round 4,Giacomo Mosca,"Verdance, Thorn of the Rose",Loss
Giacomo Mosca,"Verdance, Thorn of the Rose",Round 4,Alessio Viola,Jarl Vetreiði,Win
Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Round 4,Adrien Druart,"Nuu, Alluring Desire",Loss
Adrien Druart,"Nuu, Alluring Desire",Round 4,Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Win
Florian Traversaz,"Prism, Awakener of Sol",Round 4,Riccardo Di Cesare,Kassai of the Golden Sand,Loss
Riccardo Di Cesare,Kassai of the Golden Sand,Round 4,Florian Traversaz,"Prism, Awakener of Sol",Win
Victor Lenoble,"Kayo, Armed and Dangerous",Round 4,Yorick Schulte,Kassai of the Golden Sand,Loss
Yorick Schulte,Kassai of the Golden Sand,Round 4,Victor Lenoble,"Kayo, Armed and Dangerous",Win
Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 4,Stefano Galli,"Verdance, Thorn of the Rose",Win
Stefano Galli,"Verdance, Thorn of the Rose",Round 4,Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 4,Viktor Ivanov,"Arakni, Marionette",Win
Viktor Ivanov,"Arakni, Marionette",Round 4,Tommaso Viscido,"Nuu, Alluring Desire",Loss
Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Round 4,Boris Melnykov,"Nuu, Alluring Desire",Loss
Boris Melnykov,"Nuu, Alluring Desire",Round 4,Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Win
Christian Hauck,Dorinthea Ironsong,Round 4,Gabriele Panichi,"Prism, Awakener of Sol",Win
Gabriele Panichi,"Prism, Awakener of Sol",Round 4,Christian Hauck,Dorinthea Ironsong,Loss
Lukasz Ziemba,"Fang, Dracai of Blades",Round 4,Duccio Capanni,"Victor Goldmane, High and Mighty",Win
Duccio Capanni,"Victor Goldmane, High and Mighty",Round 4,Lukasz Ziemba,"Fang, Dracai of Blades",Loss
Jurij Di Carlo,"Florian, Rotwood Harbinger",Round 4,Nathanaël frederic,"Azalea, Ace in the Hole",Loss
Nathanaël frederic,"Azalea, Ace in the Hole",Round 4,Jurij Di Carlo,"Florian, Rotwood Harbinger",Win
Mirko Macchia,"Azalea, Ace in the Hole",Round 4,Adrian Słowiński,"Azalea, Ace in the Hole",Loss
Adrian Słowiński,"Azalea, Ace in the Hole",Round 4,Mirko Macchia,"Azalea, Ace in the Hole",Win
Alessandro Sgura,"Vynnset, Iron Maiden",Round 4,Daja Todesco,"Gravy Bones, Shipwrecked Looter",Loss
Daja Todesco,"Gravy Bones, Shipwrecked Looter",Round 4,Alessandro Sgura,"Vynnset, Iron Maiden",Win
Andrea Caregnato,"Rhinar, Reckless Rampage",Round 4,filippo pirazzoli,"Cindra, Dracai of Retribution",Loss
filippo pirazzoli,"Cindra, Dracai of Retribution",Round 4,Andrea Caregnato,"Rhinar, Reckless Rampage",Win
Tudor Diaconescu,"Levia, Shadowborn Abomination",Round 4,Pietro Motta,"Puffin, Hightail",Win
Pietro Motta,"Puffin, Hightail",Round 4,Tudor Diaconescu,"Levia, Shadowborn Abomination",Loss
Jonas Benzarti,"Arakni, Marionette",Round 4,Maciej Szawica,"Kayo, Armed and Dangerous",Win
Maciej Szawica,"Kayo, Armed and Dangerous",Round 4,Jonas Benzarti,"Arakni, Marionette",Loss
Jakub Koenner,"Prism, Awakener of Sol",Round 4,Tom Escoffier,"Arakni, Marionette",Win
Tom Escoffier,"Arakni, Marionette",Round 4,Jakub Koenner,"Prism, Awakener of Sol",Loss
Gaia Bormida,Dorinthea Ironsong,Round 4,Isidoros Popovits,"Azalea, Ace in the Hole",Loss
Isidoros Popovits,"Azalea, Ace in the Hole",Round 4,Gaia Bormida,Dorinthea Ironsong,Win
Maximilian Reichl,"Arakni, Marionette",Round 4,Ismael Boulbaz,"Florian, Rotwood Harbinger",Win
Ismael Boulbaz,"Florian, Rotwood Harbinger",Round 4,Maximilian Reichl,"Arakni, Marionette",Loss
Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Round 4,Bartosz Dominiak,"Verdance, Thorn of the Rose",Win
Bartosz Dominiak,"Verdance, Thorn of the Rose",Round 4,Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Loss
Jeremy Miller,"Nuu, Alluring Desire",Round 4,Andrea Nicastro,"Kano, Dracai of Aether",Loss
Andrea Nicastro,"Kano, Dracai of Aether",Round 4,Jeremy Miller,"Nuu, Alluring Desire",Win
Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Round 4,Gabriele Giacomelli,Dash I/O,Win
Gabriele Giacomelli,Dash I/O,Round 4,Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Loss
Wojciech Arendt,"Prism, Awakener of Sol",Round 4,KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 4,Wojciech Arendt,"Prism, Awakener of Sol",Win
Samuel Mudry,"Kano, Dracai of Aether",Round 4,Danny Halstad,"Puffin, Hightail",Win
Danny Halstad,"Puffin, Hightail",Round 4,Samuel Mudry,"Kano, Dracai of Aether",Loss
Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Round 4,Kinga Piper Balázs,"Cindra, Dracai of Retribution",Loss
Kinga Piper Balázs,"Cindra, Dracai of Retribution",Round 4,Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Win
Florian Grabenstein,"Kayo, Armed and Dangerous",Round 4,Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Win
Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Round 4,Florian Grabenstein,"Kayo, Armed and Dangerous",Loss
Luis Toeffels,"Azalea, Ace in the Hole",Round 4,Roberto Andreocci,"Ira, Scarlet Revenger",Loss
Roberto Andreocci,"Ira, Scarlet Revenger",Round 4,Luis Toeffels,"Azalea, Ace in the Hole",Win
Vasil Boev,"Verdance, Thorn of the Rose",Round 4,Massimiliano Messina,"Fang, Dracai of Blades",Win
Massimiliano Messina,"Fang, Dracai of Blades",Round 4,Vasil Boev,"Verdance, Thorn of the Rose",Loss
Sotiris Konstantelos,"Puffin, Hightail",Round 4,Guillermo Revilla,"Arakni, Marionette",Win
Guillermo Revilla,"Arakni, Marionette",Round 4,Sotiris Konstantelos,"Puffin, Hightail",Loss
Jakub Kulpinski,"Puffin, Hightail",Round 4,Davide Ierardi,"Marlynn, Treasure Hunter",Win
Davide Ierardi,"Marlynn, Treasure Hunter",Round 4,Jakub Kulpinski,"Puffin, Hightail",Loss
Simone Quartieri,"Florian, Rotwood Harbinger",Round 4,Jakub Mares,"Gravy Bones, Shipwrecked Looter",Loss
Jakub Mares,"Gravy Bones, Shipwrecked Looter",Round 4,Simone Quartieri,"Florian, Rotwood Harbinger",Win
Arianna Rinaldi,"Puffin, Hightail",Round 4,Paolo D’Innocenzo,Kassai of the Golden Sand,Loss
Paolo D’Innocenzo,Kassai of the Golden Sand,Round 4,Arianna Rinaldi,"Puffin, Hightail",Win
Matthew Brown,"Fang, Dracai of Blades",Round 4,Iacopo Lau,"Azalea, Ace in the Hole",Win
Iacopo Lau,"Azalea, Ace in the Hole",Round 4,Matthew Brown,"Fang, Dracai of Blades",Loss
Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Round 4,James Thourgood,"Prism, Awakener of Sol",Loss
James Thourgood,"Prism, Awakener of Sol",Round 4,Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Win
Francesco Zampieri,"Cindra, Dracai of Retribution",Round 4,Alberto Hernández Martin,"Vynnset, Iron Maiden",Loss
Alberto Hernández Martin,"Vynnset, Iron Maiden",Round 4,Francesco Zampieri,"Cindra, Dracai of Retribution",Win
Davide Brigida,"Puffin, Hightail",Round 4,Enrico Collini,"Riptide, Lurker of the Deep",Win
Enrico Collini,"Riptide, Lurker of the Deep",Round 4,Davide Brigida,"Puffin, Hightail",Loss
Daniel Collett,"Gravy Bones, Shipwrecked Looter",Round 4,David Bettoli,"Prism, Awakener of Sol",Win
David Bettoli,"Prism, Awakener of Sol",Round 4,Daniel Collett,"Gravy Bones, Shipwrecked Looter",Loss
Ruben Exposito,"Kano, Dracai of Aether",Round 5,Alexander Hempelmann,"Kano, Dracai of Aether",Loss
Alexander Hempelmann,"Kano, Dracai of Aether",Round 5,Ruben Exposito,"Kano, Dracai of Aether",Win
Charlie Fahey,"Kano, Dracai of Aether",Round 5,Gilles Molina,"Prism, Awakener of Sol",Loss
Gilles Molina,"Prism, Awakener of Sol",Round 5,Charlie Fahey,"Kano, Dracai of Aether",Win
Yorgos Samaras,"Cindra, Dracai of Retribution",Round 5,Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Win
Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Round 5,Yorgos Samaras,"Cindra, Dracai of Retribution",Loss
Andrea Milaneschi,"Vynnset, Iron Maiden",Round 5,Anton Cid Mejias,"Arakni, Marionette",Loss
Anton Cid Mejias,"Arakni, Marionette",Round 5,Andrea Milaneschi,"Vynnset, Iron Maiden",Win
Alessandro Bracci,"Verdance, Thorn of the Rose",Round 5,Tommaso Fabbri,"Azalea, Ace in the Hole",Win
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 5,Alessandro Bracci,"Verdance, Thorn of the Rose",Loss
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 5,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 5,axilleas siskopoulos,"Vynnset, Iron Maiden",Win
Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Round 5,Szabolcs Egri,"Nuu, Alluring Desire",Loss
Szabolcs Egri,"Nuu, Alluring Desire",Round 5,Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Win
Stefano Meoni,"Azalea, Ace in the Hole",Round 5,Pablo Pintor,"Nuu, Alluring Desire",Win
Pablo Pintor,"Nuu, Alluring Desire",Round 5,Stefano Meoni,"Azalea, Ace in the Hole",Loss
Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Round 5,Filip Mikołajczyk,"Cindra, Dracai of Retribution",Loss
Filip Mikołajczyk,"Cindra, Dracai of Retribution",Round 5,Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Win
Andrei Sebastian Suciu,"Arakni, Marionette",Round 5,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Loss
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 5,Andrei Sebastian Suciu,"Arakni, Marionette",Win
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 5,Roman Legíň,"Florian, Rotwood Harbinger",Loss
Roman Legíň,"Florian, Rotwood Harbinger",Round 5,Marvin Heusinger,"Cindra, Dracai of Retribution",Win
Daniel Correas,"Azalea, Ace in the Hole",Round 5,Leoluca Colletti,"Nuu, Alluring Desire",Win
Leoluca Colletti,"Nuu, Alluring Desire",Round 5,Daniel Correas,"Azalea, Ace in the Hole",Loss
Léo Baty,Kassai of the Golden Sand,Round 5,Diego Paoletti,"Nuu, Alluring Desire",Win
Diego Paoletti,"Nuu, Alluring Desire",Round 5,Léo Baty,Kassai of the Golden Sand,Loss
Giannis Koumidis,"Nuu, Alluring Desire",Round 5,Francesco Buoso,"Oscilio, Constella Intelligence",Win
Francesco Buoso,"Oscilio, Constella Intelligence",Round 5,Giannis Koumidis,"Nuu, Alluring Desire",Loss
Maurice Hostettler,"Azalea, Ace in the Hole",Round 5,Paweł Romanowski,"Kayo, Armed and Dangerous",Win
Paweł Romanowski,"Kayo, Armed and Dangerous",Round 5,Maurice Hostettler,"Azalea, Ace in the Hole",Loss
Lorenzo Latino,"Victor Goldmane, High and Mighty",Round 5,Michaele Teppa,"Nuu, Alluring Desire",Loss
Michaele Teppa,"Nuu, Alluring Desire",Round 5,Lorenzo Latino,"Victor Goldmane, High and Mighty",Win
Tiziano Suran,"Azalea, Ace in the Hole",Round 5,Gianluigi Lia,"Nuu, Alluring Desire",Loss
Gianluigi Lia,"Nuu, Alluring Desire",Round 5,Tiziano Suran,"Azalea, Ace in the Hole",Win
Federico Lami,"Vynnset, Iron Maiden",Round 5,George Jones,"Nuu, Alluring Desire",Win
George Jones,"Nuu, Alluring Desire",Round 5,Federico Lami,"Vynnset, Iron Maiden",Loss
Sammy Weckx,"Prism, Awakener of Sol",Round 5,Emlyn Ingram,"Prism, Awakener of Sol",Win
Emlyn Ingram,"Prism, Awakener of Sol",Round 5,Sammy Weckx,"Prism, Awakener of Sol",Loss
Mathias W,"Vynnset, Iron Maiden",Round 5,Lachlan Maddaford,"Arakni, Marionette",Loss
Lachlan Maddaford,"Arakni, Marionette",Round 5,Mathias W,"Vynnset, Iron Maiden",Win
Bartosz Ziemba,"Verdance, Thorn of the Rose",Round 5,Lewis Miller,"Verdance, Thorn of the Rose",Win
Lewis Miller,"Verdance, Thorn of the Rose",Round 5,Bartosz Ziemba,"Verdance, Thorn of the Rose",Loss
Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 5,Theofrastos Matakoulias,"Puffin, Hightail",Win
Theofrastos Matakoulias,"Puffin, Hightail",Round 5,Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Roy Sammour,"Oscilio, Constella Intelligence",Round 5,Finlay Freir,"Vynnset, Iron Maiden",Loss
Finlay Freir,"Vynnset, Iron Maiden",Round 5,Roy Sammour,"Oscilio, Constella Intelligence",Win
Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Round 5,Daniel Li,"Cindra, Dracai of Retribution",Loss
Daniel Li,"Cindra, Dracai of Retribution",Round 5,Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Win
Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Round 5,Mirko Dolce,"Azalea, Ace in the Hole",Loss
Mirko Dolce,"Azalea, Ace in the Hole",Round 5,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Win
Tim Heibrok,"Florian, Rotwood Harbinger",Round 5,Marco Casadio,Dash I/O,Loss
Marco Casadio,Dash I/O,Round 5,Tim Heibrok,"Florian, Rotwood Harbinger",Win
Jan Kučera,"Kano, Dracai of Aether",Round 5,Gary White,"Kano, Dracai of Aether",Loss
Gary White,"Kano, Dracai of Aether",Round 5,Jan Kučera,"Kano, Dracai of Aether",Win
Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Round 5,Sander Neeft,"Gravy Bones, Shipwrecked Looter",Loss
Sander Neeft,"Gravy Bones, Shipwrecked Looter",Round 5,Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Win
Kevin Zänker,"Nuu, Alluring Desire",Round 5,Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Loss
Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Round 5,Kevin Zänker,"Nuu, Alluring Desire",Win
Vasilis Kirlis,"Nuu, Alluring Desire",Round 5,David Gómez,"Verdance, Thorn of the Rose",Win
David Gómez,"Verdance, Thorn of the Rose",Round 5,Vasilis Kirlis,"Nuu, Alluring Desire",Loss
Savinien Castel,"Nuu, Alluring Desire",Round 5,Thomas Harle,"Gravy Bones, Shipwrecked Looter",Loss
Thomas Harle,"Gravy Bones, Shipwrecked Looter",Round 5,Savinien Castel,"Nuu, Alluring Desire",Win
Jakub Kouřil,"Prism, Awakener of Sol",Round 5,Artur Wysocki,"Nuu, Alluring Desire",Loss
Artur Wysocki,"Nuu, Alluring Desire",Round 5,Jakub Kouřil,"Prism, Awakener of Sol",Win
Adrien Krifa,"Cindra, Dracai of Retribution",Round 5,Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Win
Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Round 5,Adrien Krifa,"Cindra, Dracai of Retribution",Loss
Jean Luka Zorko,"Prism, Awakener of Sol",Round 5,Paul Crame,"Azalea, Ace in the Hole",Win
Paul Crame,"Azalea, Ace in the Hole",Round 5,Jean Luka Zorko,"Prism, Awakener of Sol",Loss
Matthew Duggan,"Kano, Dracai of Aether",Round 5,Daniele Coppola,"Cindra, Dracai of Retribution",Loss
Daniele Coppola,"Cindra, Dracai of Retribution",Round 5,Matthew Duggan,"Kano, Dracai of Aether",Win
Ralph Schlauri,"Verdance, Thorn of the Rose",Round 5,Andrea Malpassi,"Cindra, Dracai of Retribution",Loss
Andrea Malpassi,"Cindra, Dracai of Retribution",Round 5,Ralph Schlauri,"Verdance, Thorn of the Rose",Win
Francesco Motta,"Fang, Dracai of Blades",Round 5,Tim Sofsky,"Prism, Awakener of Sol",Loss
Tim Sofsky,"Prism, Awakener of Sol",Round 5,Francesco Motta,"Fang, Dracai of Blades",Win
Ilias Karamanis,"Kayo, Armed and Dangerous",Round 5,Jason Rolfe,"Verdance, Thorn of the Rose",Loss
Jason Rolfe,"Verdance, Thorn of the Rose",Round 5,Ilias Karamanis,"Kayo, Armed and Dangerous",Win
Erik Skinstad,"Vynnset, Iron Maiden",Round 5,Alexandros Argyriou,"Cindra, Dracai of Retribution",Win
Alexandros Argyriou,"Cindra, Dracai of Retribution",Round 5,Erik Skinstad,"Vynnset, Iron Maiden",Loss
Andreas Capsalis,"Cindra, Dracai of Retribution",Round 5,piero scheriani,"Fai, Rising Rebellion",Loss
piero scheriani,"Fai, Rising Rebellion",Round 5,Andreas Capsalis,"Cindra, Dracai of Retribution",Win
Adriano Izzi,"Prism, Awakener of Sol",Round 5,Liam Holden,"Victor Goldmane, High and Mighty",Loss
Liam Holden,"Victor Goldmane, High and Mighty",Round 5,Adriano Izzi,"Prism, Awakener of Sol",Win
Daniele Bigagli,"Verdance, Thorn of the Rose",Round 5,Rob Catton,"Prism, Awakener of Sol",Loss
Rob Catton,"Prism, Awakener of Sol",Round 5,Daniele Bigagli,"Verdance, Thorn of the Rose",Win
John Kitsos,"Florian, Rotwood Harbinger",Round 5,Mario Donoso,"Florian, Rotwood Harbinger",Win
Mario Donoso,"Florian, Rotwood Harbinger",Round 5,John Kitsos,"Florian, Rotwood Harbinger",Loss
Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Round 5,Maniša Njegomir,"Kano, Dracai of Aether",Loss
Maniša Njegomir,"Kano, Dracai of Aether",Round 5,Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Win
Felix Krisch,"Levia, Shadowborn Abomination",Round 5,Björn DHOOGHE,"Katsu, the Wanderer",Win
Björn DHOOGHE,"Katsu, the Wanderer",Round 5,Felix Krisch,"Levia, Shadowborn Abomination",Loss
Freddy Friedrich,"Gravy Bones, Shipwrecked Looter",Round 5,Diego Giacca,"Puffin, Hightail",Loss
Diego Giacca,"Puffin, Hightail",Round 5,Freddy Friedrich,"Gravy Bones, Shipwrecked Looter",Win
Enki Dupaquier,Kassai of the Golden Sand,Round 5,Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Loss
Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Round 5,Enki Dupaquier,Kassai of the Golden Sand,Win
Nikos Tavoulareas,"Florian, Rotwood Harbinger",Round 5,Giulio Monaco,"Verdance, Thorn of the Rose",Loss
Giulio Monaco,"Verdance, Thorn of the Rose",Round 5,Nikos Tavoulareas,"Florian, Rotwood Harbinger",Win
Giuseppe Cervone,"Florian, Rotwood Harbinger",Round 5,Mert Gezgin,"Oscilio, Constella Intelligence",Loss
Mert Gezgin,"Oscilio, Constella Intelligence",Round 5,Giuseppe Cervone,"Florian, Rotwood Harbinger",Win
Eugenio Papavero Crusca,Jarl Vetreiði,Round 5,Julian Cappallo,"Florian, Rotwood Harbinger",Win
Julian Cappallo,"Florian, Rotwood Harbinger",Round 5,Eugenio Papavero Crusca,Jarl Vetreiði,Loss
Adam Tuček,"Nuu, Alluring Desire",Round 5,Marc Germond,"Ira, Scarlet Revenger",Win
Marc Germond,"Ira, Scarlet Revenger",Round 5,Adam Tuček,"Nuu, Alluring Desire",Loss
Chang Li,"Victor Goldmane, High and Mighty",Round 5,George Rodger,"Gravy Bones, Shipwrecked Looter",Loss
George Rodger,"Gravy Bones, Shipwrecked Looter",Round 5,Chang Li,"Victor Goldmane, High and Mighty",Win
Plamen Kutinchev,"Arakni, Marionette",Round 5,Mika Vainio,"Ser Boltyn, Breaker of Dawn",Loss
Mika Vainio,"Ser Boltyn, Breaker of Dawn",Round 5,Plamen Kutinchev,"Arakni, Marionette",Loss
Bota Claudiu,"Prism, Awakener of Sol",Round 5,Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Win
