Player,Wins,Losses,Win Rate (%),Heroes Used
David Gómez,3,4,42.86,"Verdance, Thorn of the Rose"
Vedran Djuricic,0,3,0.0,"Fang, Dracai of Blades"
Lachlan Maddaford,4,3,57.14,"Arakni, Marionette"
David Bettoli,1,6,14.29,"Prism, Awakener of Sol"
Theofilos Papadopoulos,2,5,28.57,"Levia, Shadowborn Abomination"
James Thourgood,2,4,33.33,"Prism, Awakener of Sol"
Noah Cagle,3,3,50.0,"Fang, Dracai of Blades"
Alexander Hempelmann,8,4,66.67,"Kano, Dracai of Aether"
Léo Masson,1,3,25.0,"Kano, Dracai of Aether"
Philip van Donselaar,3,3,50.0,"Gravy Bones, Shipwrecked Looter"
Mihai Zorila,4,3,57.14,"Cindra, Dracai of Retribution"
Łukasz Gryziewicz,3,3,50.0,"Cindra, Dracai of Retribution"
Matthias Verbeeck,0,3,0.0,"Florian, Rotwood Harbinger"
Adriano Izzi,4,3,57.14,"Prism, Awakener of Sol"
Maniša Njegomir,5,5,50.0,"Kano, Dracai of Aether"
Pierantonio Ostuni,3,4,42.86,"Cindra, Dracai of Retribution"
Tom Escoffier,4,3,57.14,"Arakni, Marionette"
Michal Cwik,2,3,40.0,"Levia, Shadowborn Abomination"
Andrea Nicastro,8,4,66.67,"Kano, Dracai of Aether"
Ivaylo Ivanov,4,3,57.14,"Azalea, Ace in the Hole"
Mateusz Sass,5,4,55.56,"Victor Goldmane, High and Mighty"
Massimo D'Amato,0,3,0.0,"Florian, Rotwood Harbinger"
Jonathan YUSTE,3,3,50.0,"Gravy Bones, Shipwrecked Looter"
Pietro Motta,2,4,33.33,"Puffin, Hightail"
Daniele Coppola,7,5,58.33,"Cindra, Dracai of Retribution"
Vincent Weinzierl,2,3,40.0,Kassai of the Golden Sand
Lorenzo Brambilla Pisoni,2,3,40.0,"Nuu, Alluring Desire"
Patrycjusz Janas,0,3,0.0,Jarl Vetreiði
Lewis Miller,3,4,42.86,"Verdance, Thorn of the Rose"
Bartosz Dominiak,1,3,25.0,"Verdance, Thorn of the Rose"
Paul Crame,4,3,57.14,"Azalea, Ace in the Hole"
filippo pirazzoli,4,3,57.14,"Cindra, Dracai of Retribution"
Mathias W,4,3,57.14,"Vynnset, Iron Maiden"
Tomasz Zalejski,3,3,50.0,Kassai of the Golden Sand
Tim Sofsky,8,4,66.67,"Prism, Awakener of Sol"
Tommaso Fabbri,7,5,58.33,"Azalea, Ace in the Hole"
Juan Victor Echeverria,0,3,0.0,"Gravy Bones, Shipwrecked Looter"
Nathanaël frederic,3,4,42.86,"Azalea, Ace in the Hole"
Nikos Tavoulareas,4,3,57.14,"Florian, Rotwood Harbinger"
Victor Lenoble,1,3,25.0,"Kayo, Armed and Dangerous"
Giannis Koumidis,8,4,66.67,"Nuu, Alluring Desire"
Maximilian Reichl,4,2,66.67,"Arakni, Marionette"
Angelo Zaccardi,3,4,42.86,"Cindra, Dracai of Retribution"
Thorbjørn Lind Jensen,4,3,57.14,"Azalea, Ace in the Hole"
Adrien Krifa,8,4,66.67,"Cindra, Dracai of Retribution"
Kaloyan Nikov,3,4,42.86,Dash I/O
Danny Halstad,0,4,0.0,"Puffin, Hightail"
Andreas Capsalis,4,3,57.14,"Cindra, Dracai of Retribution"
Davide Ierardi,0,4,0.0,"Marlynn, Treasure Hunter"
Michał Rzepczyński,3,4,42.86,"Azalea, Ace in the Hole"
