Hero,Opponent Hero,Wins,Losses,Total Matches,Win Rate (%)
"Verdance, Thorn of the Rose","Florian, Rotwood Harbinger",11,4,15,73.33
"Verdance, Thorn of the Rose","Kayo, Armed and Dangerous",2,1,3,66.67
"Verdance, Thorn of the Rose","Arakni, Marionette",3,6,9,33.33
"Verdance, Thorn of the Rose","Gravy Bones, Shipwrecked Looter",4,14,18,22.22
"Verdance, Thorn of the Rose","Nuu, Alluring Desire",1,8,9,11.11
"Verdance, Thorn of the Rose","Verdance, Thorn of the Rose",7,7,14,50.0
"Verdance, Thorn of the Rose","Katsu, the Wanderer",1,1,2,50.0
"Verdance, Thorn of the Rose","Victor Goldmane, High and Mighty",1,1,2,50.0
"Verdance, Thorn of the Rose","Fai, Rising Rebellion",0,2,2,0.0
"Kano, Dracai of Aether","Nuu, Alluring Desire",8,5,13,61.54
"Kano, Dracai of Aether",Dash I/O,1,0,1,100.0
"Kano, Dracai of Aether","Florian, Rotwood Harbinger",11,1,12,91.67
"Kano, Dracai of Aether","Puffin, Hightail",1,1,2,50.0
"Kano, Dracai of Aether","Verdance, Thorn of the Rose",8,1,9,88.89
"Kano, Dracai of Aether","Levia, Shadowborn Abomination",0,2,2,0.0
"Kano, Dracai of Aether","Kano, Dracai of Aether",7,7,14,50.0
"Kano, Dracai of Aether","Prism, Awakener of Sol",1,6,7,14.29
"Kano, Dracai of Aether","Cindra, Dracai of Retribution",7,4,11,63.64
"Kano, Dracai of Aether","Vynnset, Iron Maiden",1,2,3,33.33
"Kano, Dracai of Aether","Ira, Scarlet Revenger",1,0,1,100.0
"Kano, Dracai of Aether","Azalea, Ace in the Hole",5,5,10,50.0
"Kano, Dracai of Aether","Gravy Bones, Shipwrecked Looter",1,3,4,25.0
"Kano, Dracai of Aether","Kayo, Armed and Dangerous",0,1,1,0.0
"Kano, Dracai of Aether","Oscilio, Constella Intelligence",3,3,6,50.0
"Kano, Dracai of Aether","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,1,2,50.0
"Kano, Dracai of Aether","Victor Goldmane, High and Mighty",2,0,2,100.0
"Kano, Dracai of Aether","Arakni, Marionette",2,1,3,66.67
"Kano, Dracai of Aether","Riptide, Lurker of the Deep",0,1,1,0.0
"Kano, Dracai of Aether",Dorinthea Ironsong,1,0,1,100.0
"Kano, Dracai of Aether",Kassai of the Golden Sand,0,1,1,0.0
"Kano, Dracai of Aether","Fai, Rising Rebellion",0,1,1,0.0
"Kano, Dracai of Aether",Jarl Vetreiði,0,1,1,0.0
"Puffin, Hightail","Arakni, Marionette",2,2,4,50.0
"Puffin, Hightail","Azalea, Ace in the Hole",3,4,7,42.86
"Puffin, Hightail",Kassai of the Golden Sand,1,2,3,33.33
"Puffin, Hightail","Kano, Dracai of Aether",1,1,2,50.0
"Puffin, Hightail","Kayo, Armed and Dangerous",0,1,1,0.0
"Puffin, Hightail","Florian, Rotwood Harbinger",0,3,3,0.0
"Puffin, Hightail","Cindra, Dracai of Retribution",1,4,5,20.0
"Puffin, Hightail",Dash I/O,1,2,3,33.33
"Puffin, Hightail","Verdance, Thorn of the Rose",0,6,6,0.0
"Puffin, Hightail","Ira, Scarlet Revenger",1,0,1,100.0
"Puffin, Hightail","Gravy Bones, Shipwrecked Looter",3,5,8,37.5
"Puffin, Hightail","Rhinar, Reckless Rampage",0,2,2,0.0
"Puffin, Hightail","Ser Boltyn, Breaker of Dawn",0,1,1,0.0
"Puffin, Hightail","Vynnset, Iron Maiden",0,2,2,0.0
"Puffin, Hightail","Riptide, Lurker of the Deep",2,0,2,100.0
"Puffin, Hightail","Prism, Awakener of Sol",1,4,5,20.0
"Puffin, Hightail","Levia, Shadowborn Abomination",0,1,1,0.0
"Puffin, Hightail","Marlynn, Treasure Hunter",1,0,1,100.0
"Puffin, Hightail","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,2,2,0.0
"Puffin, Hightail",Dorinthea Ironsong,1,0,1,100.0
"Puffin, Hightail","Victor Goldmane, High and Mighty",0,2,2,0.0
"Puffin, Hightail","Nuu, Alluring Desire",0,2,2,0.0
"Puffin, Hightail","Fang, Dracai of Blades",0,1,1,0.0
"Puffin, Hightail",,1,0,1,100.0
"Ira, Scarlet Revenger","Cindra, Dracai of Retribution",1,1,2,50.0
"Ira, Scarlet Revenger",Kassai of the Golden Sand,1,1,2,50.0
"Ira, Scarlet Revenger","Arakni, Marionette",1,2,3,33.33
"Ira, Scarlet Revenger","Gravy Bones, Shipwrecked Looter",1,1,2,50.0
"Ira, Scarlet Revenger","Puffin, Hightail",0,1,1,0.0
"Ira, Scarlet Revenger",,1,0,1,100.0
"Ira, Scarlet Revenger","Prism, Awakener of Sol",2,1,3,66.67
"Ira, Scarlet Revenger","Kano, Dracai of Aether",0,1,1,0.0
"Ira, Scarlet Revenger","Nuu, Alluring Desire",0,5,5,0.0
"Ira, Scarlet Revenger","Azalea, Ace in the Hole",2,2,4,50.0
"Ira, Scarlet Revenger","Florian, Rotwood Harbinger",1,2,3,33.33
"Ira, Scarlet Revenger","Riptide, Lurker of the Deep",1,0,1,100.0
"Ira, Scarlet Revenger",Jarl Vetreiði,0,1,1,0.0
"Ira, Scarlet Revenger","Marlynn, Treasure Hunter",1,0,1,100.0
"Ira, Scarlet Revenger","Oscilio, Constella Intelligence",1,1,2,50.0
"Ira, Scarlet Revenger","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,1,1,0.0
"Ira, Scarlet Revenger",Dorinthea Ironsong,0,1,1,0.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Riptide, Lurker of the Deep",0,2,2,0.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Gravy Bones, Shipwrecked Looter",2,2,4,50.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Florian, Rotwood Harbinger",1,2,3,33.33
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Prism, Awakener of Sol",2,2,4,50.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Verdance, Thorn of the Rose",2,3,5,40.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Vynnset, Iron Maiden",1,2,3,33.33
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Levia, Shadowborn Abomination",0,1,1,0.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,1,2,50.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X",Jarl Vetreiði,0,1,1,0.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Azalea, Ace in the Hole",3,2,5,60.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X",Kassai of the Golden Sand,1,1,2,50.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Kano, Dracai of Aether",1,1,2,50.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Marlynn, Treasure Hunter",1,0,1,100.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Nuu, Alluring Desire",1,3,4,25.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Fang, Dracai of Blades",1,0,1,100.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Arakni, Marionette",0,2,2,0.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Puffin, Hightail",2,0,2,100.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Cindra, Dracai of Retribution",1,2,3,33.33
"Arakni, 5L!p3d 7hRu 7h3 cR4X",Dash I/O,0,1,1,0.0
"Arakni, 5L!p3d 7hRu 7h3 cR4X","Ira, Scarlet Revenger",1,0,1,100.0
"Ser Boltyn, Breaker of Dawn","Nuu, Alluring Desire",0,1,1,0.0
"Ser Boltyn, Breaker of Dawn","Puffin, Hightail",1,0,1,100.0
"Ser Boltyn, Breaker of Dawn","Azalea, Ace in the Hole",1,1,2,50.0
"Ser Boltyn, Breaker of Dawn","Cindra, Dracai of Retribution",1,0,1,100.0
"Ser Boltyn, Breaker of Dawn","Florian, Rotwood Harbinger",0,1,1,0.0
"Marlynn, Treasure Hunter",Dash I/O,1,1,2,50.0
"Marlynn, Treasure Hunter","Florian, Rotwood Harbinger",1,2,3,33.33
"Marlynn, Treasure Hunter","Cindra, Dracai of Retribution",0,1,1,0.0
"Marlynn, Treasure Hunter","Vynnset, Iron Maiden",0,1,1,0.0
"Marlynn, Treasure Hunter","Prism, Awakener of Sol",1,1,2,50.0
"Marlynn, Treasure Hunter","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,1,1,0.0
"Marlynn, Treasure Hunter",Dorinthea Ironsong,1,0,1,100.0
"Marlynn, Treasure Hunter","Ira, Scarlet Revenger",0,1,1,0.0
"Marlynn, Treasure Hunter","Puffin, Hightail",0,1,1,0.0
"Marlynn, Treasure Hunter","Arakni, Marionette",0,1,1,0.0
"Marlynn, Treasure Hunter",Kassai of the Golden Sand,0,1,1,0.0
Kassai of the Golden Sand,"Puffin, Hightail",2,1,3,66.67
Kassai of the Golden Sand,"Ira, Scarlet Revenger",1,1,2,50.0
Kassai of the Golden Sand,"Verdance, Thorn of the Rose",1,3,4,25.0
Kassai of the Golden Sand,Kassai of the Golden Sand,2,2,4,50.0
Kassai of the Golden Sand,"Nuu, Alluring Desire",5,2,7,71.43
Kassai of the Golden Sand,"Cindra, Dracai of Retribution",5,1,6,83.33
Kassai of the Golden Sand,"Prism, Awakener of Sol",7,2,9,77.78
Kassai of the Golden Sand,"Gravy Bones, Shipwrecked Looter",1,3,4,25.0
Kassai of the Golden Sand,"Arakni, Marionette",1,6,7,14.29
Kassai of the Golden Sand,Jarl Vetreiði,2,1,3,66.67
Kassai of the Golden Sand,"Kayo, Armed and Dangerous",2,1,3,66.67
Kassai of the Golden Sand,"Fai, Rising Rebellion",0,1,1,0.0
Kassai of the Golden Sand,"Florian, Rotwood Harbinger",6,2,8,75.0
Kassai of the Golden Sand,Dash I/O,0,1,1,0.0
Kassai of the Golden Sand,"Oscilio, Constella Intelligence",0,2,2,0.0
Kassai of the Golden Sand,"Arakni, 5L!p3d 7hRu 7h3 cR4X",1,1,2,50.0
Kassai of the Golden Sand,"Azalea, Ace in the Hole",4,2,6,66.67
Kassai of the Golden Sand,"Fang, Dracai of Blades",0,3,3,0.0
Kassai of the Golden Sand,"Vynnset, Iron Maiden",0,2,2,0.0
Kassai of the Golden Sand,"Victor Goldmane, High and Mighty",0,1,1,0.0
Kassai of the Golden Sand,"Marlynn, Treasure Hunter",1,0,1,100.0
Kassai of the Golden Sand,"Kano, Dracai of Aether",1,0,1,100.0
Jarl Vetreiði,"Gravy Bones, Shipwrecked Looter",0,3,3,0.0
Jarl Vetreiði,"Cindra, Dracai of Retribution",4,0,4,100.0
Jarl Vetreiði,"Verdance, Thorn of the Rose",0,3,3,0.0
Jarl Vetreiði,"Arakni, Marionette",1,2,3,33.33
Jarl Vetreiði,"Azalea, Ace in the Hole",2,1,3,66.67
Jarl Vetreiði,"Vynnset, Iron Maiden",1,1,2,50.0
Jarl Vetreiði,Kassai of the Golden Sand,1,2,3,33.33
Jarl Vetreiði,"Arakni, 5L!p3d 7hRu 7h3 cR4X",1,0,1,100.0
Jarl Vetreiði,"Florian, Rotwood Harbinger",3,2,5,60.0
Jarl Vetreiði,"Prism, Awakener of Sol",0,2,2,0.0
Jarl Vetreiði,"Ira, Scarlet Revenger",1,0,1,100.0
Jarl Vetreiði,"Nuu, Alluring Desire",0,2,2,0.0
